_step,mean_eps_reward,run_name,seed,agent,opponent,selfplay,backup-freq,total-steps,normalize_obs,quantile_critic,num-parallel-envs
1253.0,-15.143,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
1833.0,-16.77,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
1834.0,-16.77,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
4426.0,-17.218,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
8983.0,-16.808,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
17467.0,-13.272,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
18781.0,-13.132,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
21051.0,-12.837,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
24907.0,-12.746,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
28084.0,-12.811,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
31091.0,-12.788,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
