_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,num-parallel-envs
60,-5.755,northern-sweep-1,0,sac,strong,True,250000,8
73,-5.755,northern-sweep-1,0,sac,strong,True,250000,8
119,-7.036,northern-sweep-1,0,sac,strong,True,250000,8
149,-8.557,northern-sweep-1,0,sac,strong,True,250000,8
151,-8.557,northern-sweep-1,0,sac,strong,True,250000,8
154,-8.557,northern-sweep-1,0,sac,strong,True,250000,8
164,-8.557,northern-sweep-1,0,sac,strong,True,250000,8
185,-9.578,northern-sweep-1,0,sac,strong,True,250000,8
259,-10.457,northern-sweep-1,0,sac,strong,True,250000,8
266,-10.457,northern-sweep-1,0,sac,strong,True,250000,8
278,-10.457,northern-sweep-1,0,sac,strong,True,250000,8
281,-12.229,northern-sweep-1,0,sac,strong,True,250000,8
301,-15.784,northern-sweep-1,0,sac,strong,True,250000,8
305,-15.784,northern-sweep-1,0,sac,strong,True,250000,8
318,-15.394,northern-sweep-1,0,sac,strong,True,250000,8
337,-15.394,northern-sweep-1,0,sac,strong,True,250000,8
389,-16.222,northern-sweep-1,0,sac,strong,True,250000,8
425,-17.223,northern-sweep-1,0,sac,strong,True,250000,8
430,-17.842,northern-sweep-1,0,sac,strong,True,250000,8
477,-16.969,northern-sweep-1,0,sac,strong,True,250000,8
515,-17.086,northern-sweep-1,0,sac,strong,True,250000,8
534,-16.846,northern-sweep-1,0,sac,strong,True,250000,8
586,-17.312,northern-sweep-1,0,sac,strong,True,250000,8
613,-16.839,northern-sweep-1,0,sac,strong,True,250000,8
646,-16.002,northern-sweep-1,0,sac,strong,True,250000,8
652,-15.479,northern-sweep-1,0,sac,strong,True,250000,8
752,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
763,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
789,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
807,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
922,-15.928,northern-sweep-1,0,sac,strong,True,250000,8
948,-16.057,northern-sweep-1,0,sac,strong,True,250000,8
962,-16.232,northern-sweep-1,0,sac,strong,True,250000,8
965,-16.232,northern-sweep-1,0,sac,strong,True,250000,8
991,-16.267,northern-sweep-1,0,sac,strong,True,250000,8
997,-16.253,northern-sweep-1,0,sac,strong,True,250000,8
998,-16.253,northern-sweep-1,0,sac,strong,True,250000,8
1021,-16.737,northern-sweep-1,0,sac,strong,True,250000,8
1050,-16.624,northern-sweep-1,0,sac,strong,True,250000,8
1067,-16.624,northern-sweep-1,0,sac,strong,True,250000,8
1075,-16.624,northern-sweep-1,0,sac,strong,True,250000,8
1113,-16.11,northern-sweep-1,0,sac,strong,True,250000,8
1129,-15.829,northern-sweep-1,0,sac,strong,True,250000,8
1131,-15.829,northern-sweep-1,0,sac,strong,True,250000,8
1137,-15.797,northern-sweep-1,0,sac,strong,True,250000,8
1165,-15.797,northern-sweep-1,0,sac,strong,True,250000,8
1168,-15.821,northern-sweep-1,0,sac,strong,True,250000,8
1183,-15.765,northern-sweep-1,0,sac,strong,True,250000,8
1217,-15.602,northern-sweep-1,0,sac,strong,True,250000,8
1233,-15.895,northern-sweep-1,0,sac,strong,True,250000,8
1239,-16.092,northern-sweep-1,0,sac,strong,True,250000,8
1253,-15.708,northern-sweep-1,0,sac,strong,True,250000,8
1269,-15.708,northern-sweep-1,0,sac,strong,True,250000,8
1272,-15.708,northern-sweep-1,0,sac,strong,True,250000,8
1352,-15.94,northern-sweep-1,0,sac,strong,True,250000,8
1367,-15.94,northern-sweep-1,0,sac,strong,True,250000,8
1429,-15.579,northern-sweep-1,0,sac,strong,True,250000,8
1447,-15.883,northern-sweep-1,0,sac,strong,True,250000,8
1448,-15.883,northern-sweep-1,0,sac,strong,True,250000,8
1449,-15.883,northern-sweep-1,0,sac,strong,True,250000,8
1471,-16.093,northern-sweep-1,0,sac,strong,True,250000,8
1502,-16.105,northern-sweep-1,0,sac,strong,True,250000,8
1508,-16.105,northern-sweep-1,0,sac,strong,True,250000,8
1532,-16.041,northern-sweep-1,0,sac,strong,True,250000,8
1577,-15.689,northern-sweep-1,0,sac,strong,True,250000,8
1599,-15.689,northern-sweep-1,0,sac,strong,True,250000,8
1687,-16.051,northern-sweep-1,0,sac,strong,True,250000,8
1703,-15.953,northern-sweep-1,0,sac,strong,True,250000,8
1719,-15.594,northern-sweep-1,0,sac,strong,True,250000,8
1742,-15.87,northern-sweep-1,0,sac,strong,True,250000,8
1761,-16.069,northern-sweep-1,0,sac,strong,True,250000,8
1774,-16.069,northern-sweep-1,0,sac,strong,True,250000,8
1783,-16.069,northern-sweep-1,0,sac,strong,True,250000,8
1793,-16.069,northern-sweep-1,0,sac,strong,True,250000,8
1822,-16.516,northern-sweep-1,0,sac,strong,True,250000,8
1833,-16.516,northern-sweep-1,0,sac,strong,True,250000,8
1834,-16.516,northern-sweep-1,0,sac,strong,True,250000,8
1898,-16.458,northern-sweep-1,0,sac,strong,True,250000,8
1934,-16.521,northern-sweep-1,0,sac,strong,True,250000,8
1945,-16.521,northern-sweep-1,0,sac,strong,True,250000,8
1957,-16.623,northern-sweep-1,0,sac,strong,True,250000,8
1986,-16.791,northern-sweep-1,0,sac,strong,True,250000,8
1992,-16.732,northern-sweep-1,0,sac,strong,True,250000,8
2015,-16.681,northern-sweep-1,0,sac,strong,True,250000,8
2029,-16.681,northern-sweep-1,0,sac,strong,True,250000,8
2035,-16.681,northern-sweep-1,0,sac,strong,True,250000,8
2050,-16.623,northern-sweep-1,0,sac,strong,True,250000,8
2069,-16.671,northern-sweep-1,0,sac,strong,True,250000,8
2106,-16.671,northern-sweep-1,0,sac,strong,True,250000,8
2153,-16.424,northern-sweep-1,0,sac,strong,True,250000,8
2165,-16.424,northern-sweep-1,0,sac,strong,True,250000,8
2172,-16.424,northern-sweep-1,0,sac,strong,True,250000,8
2185,-16.689,northern-sweep-1,0,sac,strong,True,250000,8
2188,-16.689,northern-sweep-1,0,sac,strong,True,250000,8
2190,-16.689,northern-sweep-1,0,sac,strong,True,250000,8
2264,-16.458,northern-sweep-1,0,sac,strong,True,250000,8
2284,-16.409,northern-sweep-1,0,sac,strong,True,250000,8
2296,-16.36,northern-sweep-1,0,sac,strong,True,250000,8
2303,-16.366,northern-sweep-1,0,sac,strong,True,250000,8
2329,-16.536,northern-sweep-1,0,sac,strong,True,250000,8
2353,-16.262,northern-sweep-1,0,sac,strong,True,250000,8
2379,-16.248,northern-sweep-1,0,sac,strong,True,250000,8
2420,-16.248,northern-sweep-1,0,sac,strong,True,250000,8
2423,-16.248,northern-sweep-1,0,sac,strong,True,250000,8
2429,-16.209,northern-sweep-1,0,sac,strong,True,250000,8
2460,-16.209,northern-sweep-1,0,sac,strong,True,250000,8
2534,-16.246,northern-sweep-1,0,sac,strong,True,250000,8
2543,-16.203,northern-sweep-1,0,sac,strong,True,250000,8
2550,-16.165,northern-sweep-1,0,sac,strong,True,250000,8
2564,-15.923,northern-sweep-1,0,sac,strong,True,250000,8
2591,-15.923,northern-sweep-1,0,sac,strong,True,250000,8
2625,-16.335,northern-sweep-1,0,sac,strong,True,250000,8
2663,-16.295,northern-sweep-1,0,sac,strong,True,250000,8
2673,-16.295,northern-sweep-1,0,sac,strong,True,250000,8
2708,-16.303,northern-sweep-1,0,sac,strong,True,250000,8
2733,-16.232,northern-sweep-1,0,sac,strong,True,250000,8
2753,-16.195,northern-sweep-1,0,sac,strong,True,250000,8
2816,-16.278,northern-sweep-1,0,sac,strong,True,250000,8
2822,-16.278,northern-sweep-1,0,sac,strong,True,250000,8
2875,-16.278,northern-sweep-1,0,sac,strong,True,250000,8
2912,-16.347,northern-sweep-1,0,sac,strong,True,250000,8
2959,-16.609,northern-sweep-1,0,sac,strong,True,250000,8
2976,-16.658,northern-sweep-1,0,sac,strong,True,250000,8
3004,-16.671,northern-sweep-1,0,sac,strong,True,250000,8
3030,-16.625,northern-sweep-1,0,sac,strong,True,250000,8
3069,-16.19,northern-sweep-1,0,sac,strong,True,250000,8
3074,-16.157,northern-sweep-1,0,sac,strong,True,250000,8
3092,-16.131,northern-sweep-1,0,sac,strong,True,250000,8
3097,-16.131,northern-sweep-1,0,sac,strong,True,250000,8
