_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,num-parallel-envs
60,-7.842,vibrant-sweep-1,3,sac,weak,True,250000,8
73,-7.842,vibrant-sweep-1,3,sac,weak,True,250000,8
119,-8.638,vibrant-sweep-1,3,sac,weak,True,250000,8
149,-8.638,vibrant-sweep-1,3,sac,weak,True,250000,8
151,-8.638,vibrant-sweep-1,3,sac,weak,True,250000,8
154,-8.638,vibrant-sweep-1,3,sac,weak,True,250000,8
164,-9.168,vibrant-sweep-1,3,sac,weak,True,250000,8
185,-9.168,vibrant-sweep-1,3,sac,weak,True,250000,8
259,-7.553,vibrant-sweep-1,3,sac,weak,True,250000,8
266,-7.553,vibrant-sweep-1,3,sac,weak,True,250000,8
278,-7.553,vibrant-sweep-1,3,sac,weak,True,250000,8
281,-7.553,vibrant-sweep-1,3,sac,weak,True,250000,8
301,-9.095,vibrant-sweep-1,3,sac,weak,True,250000,8
305,-11.041,vibrant-sweep-1,3,sac,weak,True,250000,8
318,-12.988,vibrant-sweep-1,3,sac,weak,True,250000,8
337,-12.765,vibrant-sweep-1,3,sac,weak,True,250000,8
389,-12.571,vibrant-sweep-1,3,sac,weak,True,250000,8
425,-12.612,vibrant-sweep-1,3,sac,weak,True,250000,8
430,-12.612,vibrant-sweep-1,3,sac,weak,True,250000,8
477,-12.353,vibrant-sweep-1,3,sac,weak,True,250000,8
515,-13.506,vibrant-sweep-1,3,sac,weak,True,250000,8
534,-13.396,vibrant-sweep-1,3,sac,weak,True,250000,8
586,-13.748,vibrant-sweep-1,3,sac,weak,True,250000,8
613,-14.666,vibrant-sweep-1,3,sac,weak,True,250000,8
646,-14.666,vibrant-sweep-1,3,sac,weak,True,250000,8
652,-14.549,vibrant-sweep-1,3,sac,weak,True,250000,8
752,-14.94,vibrant-sweep-1,3,sac,weak,True,250000,8
763,-14.94,vibrant-sweep-1,3,sac,weak,True,250000,8
789,-15.417,vibrant-sweep-1,3,sac,weak,True,250000,8
807,-15.303,vibrant-sweep-1,3,sac,weak,True,250000,8
922,-16.255,vibrant-sweep-1,3,sac,weak,True,250000,8
948,-16.314,vibrant-sweep-1,3,sac,weak,True,250000,8
962,-16.314,vibrant-sweep-1,3,sac,weak,True,250000,8
965,-16.314,vibrant-sweep-1,3,sac,weak,True,250000,8
991,-16.947,vibrant-sweep-1,3,sac,weak,True,250000,8
997,-16.947,vibrant-sweep-1,3,sac,weak,True,250000,8
998,-16.947,vibrant-sweep-1,3,sac,weak,True,250000,8
1021,-16.832,vibrant-sweep-1,3,sac,weak,True,250000,8
1050,-16.713,vibrant-sweep-1,3,sac,weak,True,250000,8
1067,-16.985,vibrant-sweep-1,3,sac,weak,True,250000,8
1075,-16.985,vibrant-sweep-1,3,sac,weak,True,250000,8
1113,-16.789,vibrant-sweep-1,3,sac,weak,True,250000,8
1129,-17.697,vibrant-sweep-1,3,sac,weak,True,250000,8
1131,-17.697,vibrant-sweep-1,3,sac,weak,True,250000,8
1137,-17.697,vibrant-sweep-1,3,sac,weak,True,250000,8
1165,-17.475,vibrant-sweep-1,3,sac,weak,True,250000,8
1168,-17.475,vibrant-sweep-1,3,sac,weak,True,250000,8
1183,-17.257,vibrant-sweep-1,3,sac,weak,True,250000,8
1217,-16.839,vibrant-sweep-1,3,sac,weak,True,250000,8
1233,-16.839,vibrant-sweep-1,3,sac,weak,True,250000,8
1239,-17.216,vibrant-sweep-1,3,sac,weak,True,250000,8
1253,-17.216,vibrant-sweep-1,3,sac,weak,True,250000,8
1269,-17.453,vibrant-sweep-1,3,sac,weak,True,250000,8
1272,-17.453,vibrant-sweep-1,3,sac,weak,True,250000,8
1352,-17.661,vibrant-sweep-1,3,sac,weak,True,250000,8
1367,-17.661,vibrant-sweep-1,3,sac,weak,True,250000,8
1429,-18.288,vibrant-sweep-1,3,sac,weak,True,250000,8
1447,-18.051,vibrant-sweep-1,3,sac,weak,True,250000,8
1448,-18.051,vibrant-sweep-1,3,sac,weak,True,250000,8
1449,-18.051,vibrant-sweep-1,3,sac,weak,True,250000,8
1471,-17.954,vibrant-sweep-1,3,sac,weak,True,250000,8
1502,-17.666,vibrant-sweep-1,3,sac,weak,True,250000,8
1508,-17.666,vibrant-sweep-1,3,sac,weak,True,250000,8
1532,-17.666,vibrant-sweep-1,3,sac,weak,True,250000,8
1577,-17.789,vibrant-sweep-1,3,sac,weak,True,250000,8
1599,-17.789,vibrant-sweep-1,3,sac,weak,True,250000,8
1687,-18.26,vibrant-sweep-1,3,sac,weak,True,250000,8
1703,-18.097,vibrant-sweep-1,3,sac,weak,True,250000,8
1719,-18.224,vibrant-sweep-1,3,sac,weak,True,250000,8
1742,-18.126,vibrant-sweep-1,3,sac,weak,True,250000,8
1761,-17.951,vibrant-sweep-1,3,sac,weak,True,250000,8
1774,-17.951,vibrant-sweep-1,3,sac,weak,True,250000,8
1783,-17.951,vibrant-sweep-1,3,sac,weak,True,250000,8
1793,-17.875,vibrant-sweep-1,3,sac,weak,True,250000,8
1822,-18.198,vibrant-sweep-1,3,sac,weak,True,250000,8
1833,-18.198,vibrant-sweep-1,3,sac,weak,True,250000,8
1834,-18.198,vibrant-sweep-1,3,sac,weak,True,250000,8
1898,-18.052,vibrant-sweep-1,3,sac,weak,True,250000,8
