_step,mean_eps_reward,run_name,seed,agent,opponent,total-steps,normalize_obs,num-parallel-envs
49,-10.835,divine-sweep-1,6,sac,strong,200000,True,8
60,-10.835,divine-sweep-1,6,sac,strong,200000,True,8
73,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
119,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
149,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
151,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
154,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
155,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
164,-7.481,divine-sweep-1,6,sac,strong,200000,True,8
185,-8.182,divine-sweep-1,6,sac,strong,200000,True,8
225,-9.73,divine-sweep-1,6,sac,strong,200000,True,8
250,-9.73,divine-sweep-1,6,sac,strong,200000,True,8
259,-10.142,divine-sweep-1,6,sac,strong,200000,True,8
266,-10.142,divine-sweep-1,6,sac,strong,200000,True,8
278,-10.142,divine-sweep-1,6,sac,strong,200000,True,8
281,-10.142,divine-sweep-1,6,sac,strong,200000,True,8
292,-16.723,divine-sweep-1,6,sac,strong,200000,True,8
301,-16.723,divine-sweep-1,6,sac,strong,200000,True,8
305,-16.723,divine-sweep-1,6,sac,strong,200000,True,8
318,-17.166,divine-sweep-1,6,sac,strong,200000,True,8
337,-16.842,divine-sweep-1,6,sac,strong,200000,True,8
353,-16.025,divine-sweep-1,6,sac,strong,200000,True,8
389,-15.769,divine-sweep-1,6,sac,strong,200000,True,8
425,-15.769,divine-sweep-1,6,sac,strong,200000,True,8
430,-15.769,divine-sweep-1,6,sac,strong,200000,True,8
477,-15.769,divine-sweep-1,6,sac,strong,200000,True,8
515,-17.521,divine-sweep-1,6,sac,strong,200000,True,8
534,-17.247,divine-sweep-1,6,sac,strong,200000,True,8
586,-17.201,divine-sweep-1,6,sac,strong,200000,True,8
613,-17.201,divine-sweep-1,6,sac,strong,200000,True,8
646,-17.7,divine-sweep-1,6,sac,strong,200000,True,8
