_step,mean_eps_reward,run_name,seed,agent,opponent,total-steps,normalize_obs,num-parallel-envs
49,-5.908,drawn-sweep-2,10,sac,weak,200000,True,8
60,-6.912,drawn-sweep-2,10,sac,weak,200000,True,8
73,-6.912,drawn-sweep-2,10,sac,weak,200000,True,8
119,-5.312,drawn-sweep-2,10,sac,weak,200000,True,8
149,-5.312,drawn-sweep-2,10,sac,weak,200000,True,8
151,-5.312,drawn-sweep-2,10,sac,weak,200000,True,8
154,-5.312,drawn-sweep-2,10,sac,weak,200000,True,8
155,-5.312,drawn-sweep-2,10,sac,weak,200000,True,8
164,-6.329,drawn-sweep-2,10,sac,weak,200000,True,8
185,-6.329,drawn-sweep-2,10,sac,weak,200000,True,8
225,-8.259,drawn-sweep-2,10,sac,weak,200000,True,8
250,-8.259,drawn-sweep-2,10,sac,weak,200000,True,8
259,-8.259,drawn-sweep-2,10,sac,weak,200000,True,8
266,-8.259,drawn-sweep-2,10,sac,weak,200000,True,8
278,-10.331,drawn-sweep-2,10,sac,weak,200000,True,8
281,-10.331,drawn-sweep-2,10,sac,weak,200000,True,8
292,-14.226,drawn-sweep-2,10,sac,weak,200000,True,8
301,-16.018,drawn-sweep-2,10,sac,weak,200000,True,8
305,-16.018,drawn-sweep-2,10,sac,weak,200000,True,8
318,-16.559,drawn-sweep-2,10,sac,weak,200000,True,8
337,-16.559,drawn-sweep-2,10,sac,weak,200000,True,8
353,-17.069,drawn-sweep-2,10,sac,weak,200000,True,8
389,-16.764,drawn-sweep-2,10,sac,weak,200000,True,8
425,-16.52,drawn-sweep-2,10,sac,weak,200000,True,8
430,-16.52,drawn-sweep-2,10,sac,weak,200000,True,8
477,-17.706,drawn-sweep-2,10,sac,weak,200000,True,8
515,-17.688,drawn-sweep-2,10,sac,weak,200000,True,8
534,-17.711,drawn-sweep-2,10,sac,weak,200000,True,8
586,-18.385,drawn-sweep-2,10,sac,weak,200000,True,8
613,-18.497,drawn-sweep-2,10,sac,weak,200000,True,8
646,-18.854,drawn-sweep-2,10,sac,weak,200000,True,8
652,-18.62,drawn-sweep-2,10,sac,weak,200000,True,8
686,-18.788,drawn-sweep-2,10,sac,weak,200000,True,8
752,-17.746,drawn-sweep-2,10,sac,weak,200000,True,8
763,-17.746,drawn-sweep-2,10,sac,weak,200000,True,8
789,-17.918,drawn-sweep-2,10,sac,weak,200000,True,8
802,-17.918,drawn-sweep-2,10,sac,weak,200000,True,8
807,-17.745,drawn-sweep-2,10,sac,weak,200000,True,8
813,-17.745,drawn-sweep-2,10,sac,weak,200000,True,8
840,-17.58,drawn-sweep-2,10,sac,weak,200000,True,8
885,-17.89,drawn-sweep-2,10,sac,weak,200000,True,8
922,-18.653,drawn-sweep-2,10,sac,weak,200000,True,8
948,-18.754,drawn-sweep-2,10,sac,weak,200000,True,8
962,-18.44,drawn-sweep-2,10,sac,weak,200000,True,8
965,-18.44,drawn-sweep-2,10,sac,weak,200000,True,8
976,-18.44,drawn-sweep-2,10,sac,weak,200000,True,8
991,-18.204,drawn-sweep-2,10,sac,weak,200000,True,8
997,-18.204,drawn-sweep-2,10,sac,weak,200000,True,8
998,-18.204,drawn-sweep-2,10,sac,weak,200000,True,8
1021,-18.061,drawn-sweep-2,10,sac,weak,200000,True,8
1050,-18.061,drawn-sweep-2,10,sac,weak,200000,True,8
1067,-17.851,drawn-sweep-2,10,sac,weak,200000,True,8
1075,-18.067,drawn-sweep-2,10,sac,weak,200000,True,8
1104,-18.067,drawn-sweep-2,10,sac,weak,200000,True,8
1113,-18.067,drawn-sweep-2,10,sac,weak,200000,True,8
1129,-18.067,drawn-sweep-2,10,sac,weak,200000,True,8
1131,-18.067,drawn-sweep-2,10,sac,weak,200000,True,8
1137,-18.067,drawn-sweep-2,10,sac,weak,200000,True,8
1165,-18.156,drawn-sweep-2,10,sac,weak,200000,True,8
