_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,quantile_critic,num-parallel-envs
60,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
73,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
119,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
149,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
151,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
154,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
164,-7.972,generous-sweep-1,12,sac,strong,True,250000,True,8
185,-7.123,generous-sweep-1,12,sac,strong,True,250000,True,8
259,-9.366,generous-sweep-1,12,sac,strong,True,250000,True,8
266,-9.366,generous-sweep-1,12,sac,strong,True,250000,True,8
278,-9.366,generous-sweep-1,12,sac,strong,True,250000,True,8
281,-11.707,generous-sweep-1,12,sac,strong,True,250000,True,8
301,-17.225,generous-sweep-1,12,sac,strong,True,250000,True,8
305,-17.225,generous-sweep-1,12,sac,strong,True,250000,True,8
318,-16.817,generous-sweep-1,12,sac,strong,True,250000,True,8
337,-15.381,generous-sweep-1,12,sac,strong,True,250000,True,8
389,-15.291,generous-sweep-1,12,sac,strong,True,250000,True,8
425,-15.099,generous-sweep-1,12,sac,strong,True,250000,True,8
430,-15.099,generous-sweep-1,12,sac,strong,True,250000,True,8
477,-15.781,generous-sweep-1,12,sac,strong,True,250000,True,8
515,-15.621,generous-sweep-1,12,sac,strong,True,250000,True,8
534,-15.621,generous-sweep-1,12,sac,strong,True,250000,True,8
586,-16.42,generous-sweep-1,12,sac,strong,True,250000,True,8
613,-16.693,generous-sweep-1,12,sac,strong,True,250000,True,8
646,-16.275,generous-sweep-1,12,sac,strong,True,250000,True,8
652,-16.275,generous-sweep-1,12,sac,strong,True,250000,True,8
752,-16.754,generous-sweep-1,12,sac,strong,True,250000,True,8
763,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
789,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
807,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
922,-16.95,generous-sweep-1,12,sac,strong,True,250000,True,8
948,-16.85,generous-sweep-1,12,sac,strong,True,250000,True,8
962,-16.841,generous-sweep-1,12,sac,strong,True,250000,True,8
965,-16.841,generous-sweep-1,12,sac,strong,True,250000,True,8
991,-17.209,generous-sweep-1,12,sac,strong,True,250000,True,8
997,-17.209,generous-sweep-1,12,sac,strong,True,250000,True,8
998,-17.209,generous-sweep-1,12,sac,strong,True,250000,True,8
1021,-17.209,generous-sweep-1,12,sac,strong,True,250000,True,8
1050,-17.059,generous-sweep-1,12,sac,strong,True,250000,True,8
1067,-17.059,generous-sweep-1,12,sac,strong,True,250000,True,8
1075,-17.059,generous-sweep-1,12,sac,strong,True,250000,True,8
1113,-17.487,generous-sweep-1,12,sac,strong,True,250000,True,8
1129,-17.268,generous-sweep-1,12,sac,strong,True,250000,True,8
1131,-17.268,generous-sweep-1,12,sac,strong,True,250000,True,8
1137,-17.268,generous-sweep-1,12,sac,strong,True,250000,True,8
1165,-17.101,generous-sweep-1,12,sac,strong,True,250000,True,8
1168,-17.101,generous-sweep-1,12,sac,strong,True,250000,True,8
1183,-17.101,generous-sweep-1,12,sac,strong,True,250000,True,8
1217,-17.156,generous-sweep-1,12,sac,strong,True,250000,True,8
1233,-17.156,generous-sweep-1,12,sac,strong,True,250000,True,8
